駅名,利用者数
今池,47924
今治,4508
今泉,460
今津,33382
今福,94
今福鶴見,22075
今羽,5330
今船,124
今里,23001
今隈,118
介良通,458
仏子,10879
仏生山,3665
仙北町,3374
仙台,182556
仙台空港,5385
仙崎,90
仙川,82714
代々木,140958
代々木上原,283238
代々木八幡,20580
代々木公園,29250
代官山,31241
代官町,38
代田橋,20131
令和コスタ行橋,103
仲ノ町,23
仲御徒町,43271
仲町台,33642
企救丘,4006
伊万里,962
伊上,18
伊与喜,16
伊丹,50094
伊予三島,1848
伊予三芳,368
伊予上灘,158
伊予中山,162
伊予亀岡,138
伊予出石,66
伊予北条,2304
伊予吉田,200
伊予和気,796
伊予土居,592
伊予大平,48
伊予大洲,1784
伊予宮野下,190
伊予富田,248
伊予寒川,232
伊予小松,544
伊予市,1034
伊予平野,48
伊予桜井,582
伊予横田,220
伊予氷見,102
伊予白滝,38
伊予石城,48
伊予立川,44
伊予西条,3026
伊予長浜,268
伊佐領,0
伊保,2142
伊勢上野,140
伊勢中原,362
伊勢中川,7264
伊勢佐木長者町,16734
伊勢八太,43
伊勢八知,9
伊勢原,51705
伊勢大井,15
伊勢奥津,52
伊勢崎,12242
伊勢川口,22
伊勢川島,2193
伊勢市,10240
伊勢朝日,3937
伊勢松本,2482
伊勢柏崎,173
伊勢治田,409
伊勢田,6933
伊勢石橋,54
伊勢竹原,20
伊勢若松,1924
伊勢鎌倉,15
伊太祈曽,738
伊奈,3354
伊奈中央,2234
伊尾木,47
伊川谷,9922
伊東,15302
伊比井,0
伊納,0
伊豆仁田,3193
伊豆北川,68
伊豆多賀,0
伊豆大川,265
伊豆急下田,3576
伊豆熱川,1095
伊豆稲取,1409
伊豆長岡,4807
伊豆高原,2988
伊賀,1650
伊賀上津,111
伊賀上野,1529
伊賀和志,0
伊賀屋,0
伊賀神戸,4420
伊達,1966
伊達紋別,1034
伊那上郷,1351
伊那八幡,372
伊那北,2050
伊那大島,702
伊那小沢,2
伊那市,2377
伊那新町,129
伊那本郷,73
伊那松島,995
伊那田島,29
伊那福岡,647
伊部,918
伊里,360
伊野,956
伊野商業前,90
伊野灘,57
伊野駅前,53
伊集院,4942
伊香牛,0
伏屋,5636
伏木,542
伏石,0
伏見,99874
伏見桃山,10469
伏見稲荷,13700
会津下郷,141
会津中川,0
会津坂下,724
会津坂本,0
会津塩沢,0
会津大塩,0
会津宮下,76
会津山村道場,7
会津川口,108
会津本郷,0
会津柳津,0
会津桧原,0
